Store_Number,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price, CPI ,Unemployment,Year
1,05-02-2010,1643691,0,42.31,2.572,211,8.106,2010
1,12-02-2010,1641957,1,38.51,2.548,211,8.106,2010
1,19-02-2010,1611968,0,39.93,2.514,211,8.106,2010
1,26-02-2010,1409728,0,46.63,2.561,211,8.106,2010
1,05-03-2010,1554807,0,46.5,2.625,211,8.106,2010
1,12-03-2010,1439542,0,57.79,2.667,211,8.106,2010
1,19-03-2010,1472516,0,54.58,2.72,211,8.106,2010
1,26-03-2010,1404430,0,51.45,2.732,211,8.106,2010
1,02-04-2010,1594968,0,62.27,2.719,211,7.808,2010
1,09-04-2010,1545419,0,65.86,2.77,211,7.808,2010
1,16-04-2010,1466058,0,66.32,2.808,210,7.808,2010
1,23-04-2010,1391256,0,64.84,2.795,210,7.808,2010
1,30-04-2010,1425101,0,67.41,2.78,210,7.808,2010
1,07-05-2010,1603955,0,72.55,2.835,210,7.808,2010
1,14-05-2010,1494252,0,74.78,2.854,210,7.808,2010
1,21-05-2010,1399662,0,76.44,2.826,211,7.808,2010
1,28-05-2010,1432070,0,80.44,2.759,211,7.808,2010
1,04-06-2010,1615525,0,80.69,2.705,211,7.808,2010
1,11-06-2010,1542561,0,80.43,2.668,211,7.808,2010
1,18-06-2010,1503284,0,84.11,2.637,211,7.808,2010
1,25-06-2010,1422712,0,84.34,2.653,211,7.808,2010
1,02-07-2010,1492418,0,80.91,2.669,211,7.787,2010
1,09-07-2010,1546074,0,80.48,2.642,211,7.787,2010
1,16-07-2010,1448939,0,83.15,2.623,211,7.787,2010
1,23-07-2010,1385065,0,83.36,2.608,211,7.787,2010
1,30-07-2010,1371987,0,81.84,2.64,211,7.787,2010
1,06-08-2010,1605492,0,87.16,2.627,212,7.787,2010
1,13-08-2010,1508238,0,87,2.692,212,7.787,2010
1,20-08-2010,1513080,0,86.65,2.664,212,7.787,2010
1,27-08-2010,1449143,0,85.22,2.619,212,7.787,2010
1,03-09-2010,1540164,0,81.21,2.577,212,7.787,2010
1,10-09-2010,1507461,1,78.69,2.565,211,7.787,2010
1,17-09-2010,1430379,0,82.11,2.582,212,7.787,2010
1,24-09-2010,1351791,0,80.94,2.624,212,7.787,2010
1,01-10-2010,1453330,0,71.89,2.603,212,7.838,2010
1,08-10-2010,1508240,0,63.93,2.633,212,7.838,2010
1,15-10-2010,1459409,0,67.18,2.72,212,7.838,2010
1,22-10-2010,1345454,0,69.86,2.725,212,7.838,2010
1,29-10-2010,1384209,0,69.64,2.716,212,7.838,2010
1,05-11-2010,1551659,0,58.74,2.689,212,7.838,2010
1,12-11-2010,1494479,0,59.61,2.728,212,7.838,2010
1,19-11-2010,1483784,0,51.41,2.771,212,7.838,2010
1,26-11-2010,1955624,1,64.52,2.735,212,7.838,2010
1,03-12-2010,1548034,0,49.27,2.708,212,7.838,2010
1,10-12-2010,1682614,0,46.33,2.843,211,7.838,2010
1,17-12-2010,1891035,0,49.84,2.869,211,7.838,2010
1,24-12-2010,2387950,0,52.33,2.886,211,7.838,2010
1,31-12-2010,1367320,1,48.43,2.943,211,7.838,2010
1,07-01-2011,1444732,0,48.27,2.976,211,7.742,2011
1,14-01-2011,1391014,0,35.4,2.983,211,7.742,2011
1,21-01-2011,1327405,0,44.04,3.016,212,7.742,2011
1,28-01-2011,1316899,0,43.83,3.01,212,7.742,2011
1,04-02-2011,1606630,0,42.27,2.989,213,7.742,2011
1,11-02-2011,1649615,1,36.39,3.022,213,7.742,2011
1,18-02-2011,1686843,0,57.36,3.045,213,7.742,2011
1,25-02-2011,1456800,0,62.9,3.065,214,7.742,2011
1,04-03-2011,1636263,0,59.58,3.288,214,7.742,2011
1,11-03-2011,1553192,0,53.56,3.459,214,7.742,2011
1,18-03-2011,1576818,0,62.76,3.488,214,7.742,2011
1,25-03-2011,1541102,0,69.97,3.473,215,7.742,2011
1,01-04-2011,1495065,0,59.17,3.524,215,7.682,2011
1,08-04-2011,1614259,0,67.84,3.622,215,7.682,2011
1,15-04-2011,1559889,0,71.27,3.743,215,7.682,2011
1,22-04-2011,1564820,0,72.99,3.807,215,7.682,2011
1,29-04-2011,1455091,0,72.03,3.81,216,7.682,2011
1,06-05-2011,1629391,0,64.61,3.906,216,7.682,2011
1,13-05-2011,1604776,0,75.64,3.899,216,7.682,2011
1,20-05-2011,1428218,0,67.63,3.907,216,7.682,2011
1,27-05-2011,1466047,0,77.72,3.786,216,7.682,2011
1,03-06-2011,1635078,0,83,3.699,215,7.682,2011
1,10-06-2011,1588948,0,83.13,3.648,215,7.682,2011
1,17-06-2011,1532115,0,86.41,3.637,215,7.682,2011
1,24-06-2011,1438830,0,83.58,3.594,215,7.682,2011
1,01-07-2011,1488538,0,85.55,3.524,215,7.962,2011
1,08-07-2011,1534850,0,85.83,3.48,215,7.962,2011
1,15-07-2011,1455120,0,88.54,3.575,215,7.962,2011
1,22-07-2011,1396927,0,85.77,3.651,215,7.962,2011
1,29-07-2011,1352220,0,86.83,3.682,215,7.962,2011
1,05-08-2011,1624384,0,91.65,3.684,216,7.962,2011
1,12-08-2011,1525147,0,90.76,3.638,216,7.962,2011
1,19-08-2011,1530761,0,89.94,3.554,216,7.962,2011
1,26-08-2011,1464693,0,87.96,3.523,216,7.962,2011
1,02-09-2011,1550229,0,87.83,3.533,216,7.962,2011
1,09-09-2011,1540471,1,76,3.546,216,7.962,2011
1,16-09-2011,1514260,0,79.94,3.526,216,7.962,2011
1,23-09-2011,1380020,0,75.8,3.467,216,7.962,2011
1,30-09-2011,1394562,0,79.69,3.355,217,7.962,2011
1,07-10-2011,1630990,0,69.31,3.285,217,7.866,2011
1,14-10-2011,1493526,0,71.74,3.274,217,7.866,2011
1,21-10-2011,1502563,0,63.71,3.353,218,7.866,2011
1,28-10-2011,1445249,0,66.57,3.372,218,7.866,2011
1,04-11-2011,1697230,0,54.98,3.332,218,7.866,2011
1,11-11-2011,1594939,0,59.11,3.297,218,7.866,2011
1,18-11-2011,1539484,0,62.25,3.308,218,7.866,2011
1,25-11-2011,2033321,1,60.14,3.236,218,7.866,2011
1,02-12-2011,1584084,0,48.91,3.172,219,7.866,2011
1,09-12-2011,1799682,0,43.93,3.158,219,7.866,2011
1,16-12-2011,1881177,0,51.63,3.159,219,7.866,2011
1,23-12-2011,2270189,0,47.96,3.112,219,7.866,2011
1,30-12-2011,1497463,1,44.55,3.129,220,7.866,2011
1,06-01-2012,1550370,0,49.01,3.157,220,7.348,2012
1,13-01-2012,1459601,0,48.53,3.261,220,7.348,2012
1,20-01-2012,1394394,0,54.11,3.268,220,7.348,2012
1,27-01-2012,1319326,0,54.26,3.29,220,7.348,2012
1,03-02-2012,1636340,0,56.55,3.36,220,7.348,2012
1,10-02-2012,1802477,1,48.02,3.409,220,7.348,2012
1,17-02-2012,1819870,0,45.32,3.51,220,7.348,2012
1,24-02-2012,1539388,0,57.25,3.555,221,7.348,2012
1,02-03-2012,1688421,0,60.96,3.63,221,7.348,2012
1,09-03-2012,1675431,0,58.76,3.669,221,7.348,2012
1,16-03-2012,1677473,0,64.74,3.734,221,7.348,2012
1,23-03-2012,1511068,0,65.93,3.787,221,7.348,2012
1,30-03-2012,1649605,0,67.61,3.845,221,7.348,2012
1,06-04-2012,1899677,0,70.43,3.891,221,7.143,2012
1,13-04-2012,1621032,0,69.07,3.891,222,7.143,2012
1,20-04-2012,1521578,0,66.76,3.877,222,7.143,2012
1,27-04-2012,1468928,0,67.23,3.814,222,7.143,2012
1,04-05-2012,1684520,0,75.55,3.749,222,7.143,2012
1,11-05-2012,1611096,0,73.77,3.688,222,7.143,2012
1,18-05-2012,1595902,0,70.33,3.63,222,7.143,2012
1,25-05-2012,1555445,0,77.22,3.561,222,7.143,2012
1,01-06-2012,1624478,0,77.95,3.501,222,7.143,2012
1,08-06-2012,1697231,0,78.3,3.452,222,7.143,2012
1,15-06-2012,1630607,0,79.35,3.393,222,7.143,2012
1,22-06-2012,1527846,0,78.39,3.346,222,7.143,2012
1,29-06-2012,1540421,0,84.88,3.286,222,7.143,2012
