Store_Number,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price, CPI ,Unemployment
1,02-05-2010,"16,43,691",0,42.31,2.572,211,8.106
1,02-12-2010,"16,41,957",1,38.51,2.548,211,8.106
1,2/19/2010,"16,11,968",0,39.93,2.514,211,8.106
1,2/26/2010,"14,09,728",0,46.63,2.561,211,8.106
1,03-05-2010,"15,54,807",0,46.5,2.625,211,8.106
1,03-12-2010,"14,39,542",0,57.79,2.667,211,8.106
1,3/19/2010,"14,72,516",0,54.58,2.72,211,8.106
1,3/26/2010,"14,04,430",0,51.45,2.732,211,8.106
1,04-02-2010,"15,94,968",0,62.27,2.719,211,7.808
1,04-09-2010,"15,45,419",0,65.86,2.77,211,7.808
1,4/16/2010,"14,66,058",0,66.32,2.808,210,7.808
1,4/23/2010,"13,91,256",0,64.84,2.795,210,7.808
1,4/30/2010,"14,25,101",0,67.41,2.78,210,7.808
1,05-07-2010,"16,03,955",0,72.55,2.835,210,7.808
1,5/14/2010,"14,94,252",0,74.78,2.854,210,7.808
1,5/21/2010,"13,99,662",0,76.44,2.826,211,7.808
1,5/28/2010,"14,32,070",0,80.44,2.759,211,7.808
1,06-04-2010,"16,15,525",0,80.69,2.705,211,7.808
1,06-11-2010,"15,42,561",0,80.43,2.668,211,7.808
1,6/18/2010,"15,03,284",0,84.11,2.637,211,7.808
1,6/25/2010,"14,22,712",0,84.34,2.653,211,7.808
1,07-02-2010,"14,92,418",0,80.91,2.669,211,7.787
1,07-09-2010,"15,46,074",0,80.48,2.642,211,7.787
1,7/16/2010,"14,48,939",0,83.15,2.623,211,7.787
1,7/23/2010,"13,85,065",0,83.36,2.608,211,7.787
1,7/30/2010,"13,71,987",0,81.84,2.64,211,7.787
1,08-06-2010,"16,05,492",0,87.16,2.627,212,7.787
1,8/13/2010,"15,08,238",0,87,2.692,212,7.787
1,8/20/2010,"15,13,080",0,86.65,2.664,212,7.787
1,8/27/2010,"14,49,143",0,85.22,2.619,212,7.787
1,09-03-2010,"15,40,164",0,81.21,2.577,212,7.787
1,09-10-2010,"15,07,461",1,78.69,2.565,211,7.787
1,9/17/2010,"14,30,379",0,82.11,2.582,212,7.787
1,9/24/2010,"13,51,791",0,80.94,2.624,212,7.787
1,10-01-2010,"14,53,330",0,71.89,2.603,212,7.838
1,10-08-2010,"15,08,240",0,63.93,2.633,212,7.838
1,10/15/2010,"14,59,409",0,67.18,2.72,212,7.838
1,10/22/2010,"13,45,454",0,69.86,2.725,212,7.838
1,10/29/2010,"13,84,209",0,69.64,2.716,212,7.838
1,11-05-2010,"15,51,659",0,58.74,2.689,212,7.838
1,11-12-2010,"14,94,479",0,59.61,2.728,212,7.838
1,11/19/2010,"14,83,784",0,51.41,2.771,212,7.838
1,11/26/2010,"19,55,624",1,64.52,2.735,212,7.838
1,12-03-2010,"15,48,034",0,49.27,2.708,212,7.838
1,12-10-2010,"16,82,614",0,46.33,2.843,211,7.838
1,12/17/2010,"18,91,035",0,49.84,2.869,211,7.838
1,12/24/2010,"23,87,950",0,52.33,2.886,211,7.838
1,12/31/2010,"13,67,320",1,48.43,2.943,211,7.838
1,01-07-2011,"14,44,732",0,48.27,2.976,211,7.742
1,1/14/2011,"13,91,014",0,35.4,2.983,211,7.742
1,1/21/2011,"13,27,405",0,44.04,3.016,212,7.742
1,1/28/2011,"13,16,899",0,43.83,3.01,212,7.742
1,02-04-2011,"16,06,630",0,42.27,2.989,213,7.742
1,02-11-2011,"16,49,615",1,36.39,3.022,213,7.742
1,2/18/2011,"16,86,843",0,57.36,3.045,213,7.742
1,2/25/2011,"14,56,800",0,62.9,3.065,214,7.742
1,03-04-2011,"16,36,263",0,59.58,3.288,214,7.742
1,03-11-2011,"15,53,192",0,53.56,3.459,214,7.742
1,3/18/2011,"15,76,818",0,62.76,3.488,214,7.742
1,3/25/2011,"15,41,102",0,69.97,3.473,215,7.742
1,04-01-2011,"14,95,065",0,59.17,3.524,215,7.682
1,04-08-2011,"16,14,259",0,67.84,3.622,215,7.682
1,4/15/2011,"15,59,889",0,71.27,3.743,215,7.682
1,4/22/2011,"15,64,820",0,72.99,3.807,215,7.682
1,4/29/2011,"14,55,091",0,72.03,3.81,216,7.682
